Référence;Désignation;Fournisseur;Fabricant;Catégorie;Tarif approximatif;CONCAT;Clé_Réf;Code interne;Note;SH Code;Poids unitaire;Conditionnement;Poids;Unité poids;PCB;Poids emballage;Mode de colisage
JOM4LCSC2;Jarretière optique LC/SC OM4 duplex 50/125ﾵm longueur 2m;Atech;;Fibre Optique;;JOM4LCSC2;JOM4LCSC2;;;;;;;;;;
JOM4SCSC2;Jarretière optique SC/SC OM4 duplex 50/125ﾵm longueur 2m;Atech;;Fibre Optique;;JOM4SCSC2;JOM4SCSC2;;;;;;;;;;
JOS1LCSC1;Jarretière optique LC/SC Monomode 9/125ﾵm longueur 1m;Atech;;Fibre Optique;;JOS1LCSC1;JOS1LCSC1;;;;;;;;;;
JOS1LCST2;Jarretière optique LC/ST Monomode 9/125ﾵm longueur 2m;Atech;;Fibre Optique;;JOS1LCST2;JOS1LCST2;;;;;;;;;;
JOS1SCAPCLC10;Jarretière optique SCAPC/LC duplex Monomode 10m;Atech;;Fibre Optique;;JOS1SCAPCLC10;JOS1SCAPCLC10;;;;;;;;;;
JOS1SCAPCLC2;Jarretière optique SCAPC/LC duplex Monomode 2 m;Atech;;Fibre Optique;;JOS1SCAPCLC2;JOS1SCAPCLC2;;;;;;;;;;
JOS1SCAPCSC2;Jarretière optique SCAPC/SC duplex Monomode 2 m;Atech;;Fibre Optique;;JOS1SCAPCSC2;JOS1SCAPCSC2;;;;;;;;;;
JOS1SCAPCSCAPC2;Jarretière optique SCAPC/SCAPC duplex Monomode 2 m;Atech;;Fibre Optique;;JOS1SCAPCSCAPC2;JOS1SCAPCSCAPC2;;;;;;;;;;
JOS1SCAPCST2;Jarretière optique SCAPC/ST duplex Monomode 2 m;Atech;;Fibre Optique;;JOS1SCAPCST2;JOS1SCAPCST2;;;;;;;;;;
JOS1SCSC2;Jarretière optique SC/SC duplex Monomode 2 m;Atech;;Fibre Optique;;JOS1SCSC2;JOS1SCSC2;;;;;;;;;;
JOS1SCST2;Jarretière optique SC/ST duplex monomode 9/125ﾵm longueur 2m;Atech;;Fibre Optique;;JOS1SCST2;JOS1SCST2;;;;;;;;;;
KABIFIXLK25;KABIFIX LK 25 pour cﾉbles renforcé(coaxial fibre optique 6 et 25mm /Infractive;Atech;INFRACTIVE;Fibre Optique;;KABIFIXLK25;KABIFIXLK25;;;;;;;;;;
LMBM042SSDR2ABSA2030CDFT;Fibre optique pré-connectorisée 30m;Comptoir du Cabling;;Fibre Optique;24,71;LMBM042SSDR2ABSA2030CDFT;LMBM042SSDR2ABSA2030CDFT;;;;;;;;;;
LMBM042SSDR2ABSA2050CDFT;Fibre optique pré-connectorisée 50m;Comptoir du Cabling;;Fibre Optique;31,08;LMBM042SSDR2ABSA2050CDFT;LMBM042SSDR2ABSA2050CDFT;;;;;;;;;;
LMCAIO2DDU024FM24ZHP;Fibre optique 24 FO monomode G652D 9/ 125 strucT libre LSZH Ext/ Int au mètre;Comptoir du Cabling;;Fibre Optique;5,36;LMCAIO2DDU024FM24ZHP;LMCAIO2DDU024FM24ZHP;;;;;;;;;;
LOCREFLECTO;Location Réflectomètre Multimode ( Stylo écran + câble usb + câble alimentation + sacoche);Horizon Fibre;;Fibre Optique;150;LOCREFLECTO;LOCREFLECTO;;;;;;;;;;
LOCREFLECTO+BOBINE;Location Réflectomètre Multimode ( Stylo écran + câble usb + câble alimentation + sacoche) + Bobine ;Horizon Fibre;;Fibre Optique;450;LOCREFLECTO+BOBINE;LOCREFLECTO+BOBINE;;"Location Kit réflectomètre multimode comprenant : un stylo écran, un câble USB, un câble d'alimentation, sacoche de transport + bobine
";;;;;;;;
LOCREFLECTOMONO;Location réflectomètre monomode;Horizon Fibre;;Fibre Optique;90;LOCREFLECTOMONO;LOCREFLECTOMONO;;;;;;;;;;
LOCSOUD;Location soudeuse optique Sumitomo loc/jour;ATECH;;Fibre Optique;65;LOCSOUD;LOCSOUD;;;;;;;;;;
LOV12FO;Cassette d'épissurage noire 2x6 fibres complète avec couvercle transparent;ATECH;;Fibre Optique;6,62;LOV12FO;LOV12FO;;;;;;;;;;
M21-1000-427;Etiquettes Brady en vynile auto-protege B427 /Infractive;Atech;;Fibre Optique;;M21-1000-427;M21-1000-427;;;;;;;;;;
M21-500-499;Etiquettes Brady en tissu nylon B499/Infractive;Atech;;Fibre Optique;;M21-500-499;M21-500-499;;;;;;;;;;
M21-750-499;Etiquettes Brady en tissu nylon B499/Infractive;Atech;;Fibre Optique;;M21-750-499;M21-750-499;;;;;;;;;;
M665001FOPC30C;DTIO MODULAIRE 1 SC/APC CÂBLE;RAVATE ELEC;CAE Groupe;Fibre Optique;30;M665001FOPC30C;M665001FOPC30C;;;85369095;0,1;Carton;;;10;;
M665001FOPC40C;DTIO MODULAIRE 1 SC/APC CÂBLE;RAVATE ELEC;CAE Groupe;Fibre Optique;35;M665001FOPC40C;M665001FOPC40C;;;85177000;;Carton;;;20;;
MILLER-921;Pince a debuter Miller-921 (0.25-0.80 mm) /Infractive;Atech;INFRACTIVE;Fibre Optique;;MILLER-921;MILLER-921;;;;;;;;;;
